tau,z,PK,QQ,scattering_amp,|scattering_amp|2
0.0078125,-0.001,-0.000890503,-0.0276125,0.0042425+0.00218798i,-0.00228634
0.0078125,-0.000857143,-0.000763288,-0.0276125,0.00424215+0.00218764i,-0.00228096
0.0078125,-0.000714286,-0.000636074,-0.0276125,0.00424181+0.0021873i,-0.00227558
0.0078125,-0.000571429,-0.000508859,-0.0276125,0.00424146+0.00218696i,-0.00227019
0.0078125,-0.000428571,-0.000381644,-0.0276125,0.00424111+0.00218662i,-0.0022648
0.0078125,-0.000285714,-0.000254429,-0.0276125,0.00424076+0.00218628i,-0.0022594
0.0078125,-0.000142857,-0.000127215,-0.0276125,0.00424042+0.00218594i,-0.002254
0.0078125,0,0,-0.0276125,0.00424007+0.0021856i,-0.00224859
0.0078125,0.000142857,0.000127215,-0.0276125,0.00423972+0.00218526i,-0.00224318
0.0078125,0.000285714,0.000254429,-0.0276125,0.00423937+0.00218492i,-0.00223776
0.0078125,0.000428571,0.000381644,-0.0276125,0.00423903+0.00218458i,-0.00223235
0.0078125,0.000571429,0.000508859,-0.0276125,0.00423868+0.00218424i,-0.00222692
0.0078125,0.000714286,0.000636074,-0.0276125,0.00423833+0.0021839i,-0.00222149
0.0078125,0.000857143,0.000763288,-0.0276125,0.00423798+0.00218356i,-0.00221606
0.0078125,0.001,0.000890503,-0.0276125,0.00423763+0.00218322i,-0.00221062
0.0117188,-0.001,-0.000893955,-0.0414187,0.00468573+0.00275418i,0.00158118
0.0117188,-0.000857143,-0.000766247,-0.0414187,0.00468543+0.00275379i,0.00158577
0.0117188,-0.000714286,-0.000638539,-0.0414187,0.00468512+0.00275339i,0.00159036
0.0117188,-0.000571429,-0.000510831,-0.0414187,0.00468481+0.002753i,0.00159495
0.0117188,-0.000428571,-0.000383123,-0.0414187,0.0046845+0.00275261i,0.00159955
0.0117188,-0.000285714,-0.000255416,-0.0414187,0.00468419+0.00275222i,0.00160415
0.0117188,-0.000142857,-0.000127708,-0.0414187,0.00468388+0.00275182i,0.00160876
0.0117188,0,0,-0.0414187,0.00468357+0.00275143i,0.00161337
0.0117188,0.000142857,0.000127708,-0.0414187,0.00468326+0.00275104i,0.00161798
0.0117188,0.000285714,0.000255416,-0.0414187,0.00468296+0.00275064i,0.00162259
0.0117188,0.000428571,0.000383123,-0.0414187,0.00468265+0.00275025i,0.00162721
0.0117188,0.000571429,0.000510831,-0.0414187,0.00468234+0.00274986i,0.00163183
0.0117188,0.000714286,0.000638539,-0.0414187,0.00468203+0.00274946i,0.00163646
0.0117188,0.000857143,0.000766247,-0.0414187,0.00468172+0.00274907i,0.00164109
0.0117188,0.001,0.000893955,-0.0414187,0.00468141+0.00274868i,0.00164572
0.015625,-0.001,-0.000897406,-0.055225,0.00526203+0.00315775i,0.0037425
0.015625,-0.000857143,-0.000769205,-0.055225,0.00526177+0.00315733i,0.0037469
0.015625,-0.000714286,-0.000641004,-0.055225,0.0052615+0.00315691i,0.0037513
0.015625,-0.000571429,-0.000512804,-0.055225,0.00526124+0.00315648i,0.00375571
0.015625,-0.000428571,-0.000384603,-0.055225,0.00526097+0.00315606i,0.00376012
0.015625,-0.000285714,-0.000256402,-0.055225,0.00526071+0.00315564i,0.00376454
0.015625,-0.000142857,-0.000128201,-0.055225,0.00526044+0.00315522i,0.00376896
0.015625,0,0,-0.055225,0.00526018+0.0031548i,0.00377338
0.015625,0.000142857,0.000128201,-0.055225,0.00525991+0.00315437i,0.00377781
0.015625,0.000285714,0.000256402,-0.055225,0.00525965+0.00315395i,0.00378224
0.015625,0.000428571,0.000384603,-0.055225,0.00525938+0.00315353i,0.00378667
0.015625,0.000571429,0.000512804,-0.055225,0.00525912+0.0031531i,0.00379111
0.015625,0.000714286,0.000641004,-0.055225,0.00525885+0.00315268i,0.00379555
0.015625,0.000857143,0.000769205,-0.055225,0.00525859+0.00315226i,0.00379999
0.015625,0.001,0.000897406,-0.055225,0.00525832+0.00315184i,0.00380444
0.0195312,-0.001,-0.000900858,-0.0690312,0.0059845+0.00343926i,0.0044558
0.0195312,-0.000857143,-0.000772164,-0.0690312,0.00598428+0.00343883i,0.00446035
0.0195312,-0.000714286,-0.00064347,-0.0690312,0.00598407+0.0034384i,0.00446491
0.0195312,-0.000571429,-0.000514776,-0.0690312,0.00598385+0.00343797i,0.00446947
0.0195312,-0.000428571,-0.000386082,-0.0690312,0.00598364+0.00343754i,0.00447403
0.0195312,-0.000285714,-0.000257388,-0.0690312,0.00598342+0.00343711i,0.0044786
