tau,z,PK,QQ,scattering_amp,|scattering_amp|2
0.001,-0.9999,-0.884395,-0.0035344,-0.000164697-0.000638295i,-1.12456e+07
0.001,-0.930941,-0.823402,-0.0035344,-0.000158542-0.000341043i,347.933
0.001,-0.861983,-0.76241,-0.0035344,-0.000238606-0.000161576i,346.728
0.001,-0.793024,-0.701417,-0.0035344,-0.000336173-1.98353e-06i,340.929
0.001,-0.724066,-0.640424,-0.0035344,-0.000443716+0.000148189i,333.848
0.001,-0.655107,-0.579431,-0.0035344,-0.000558084+0.000293129i,326.146
0.001,-0.586148,-0.518439,-0.0035344,-0.000677494+0.000435069i,318.038
0.001,-0.51719,-0.457446,-0.0035344,-0.000800761+0.000575399i,309.618
0.001,-0.448231,-0.396453,-0.0035344,-0.000927008+0.000715073i,300.937
0.001,-0.379272,-0.33546,-0.0035344,-0.00105554+0.000854791i,292.03
0.001,-0.310314,-0.274467,-0.0035344,-0.0011858+0.000995095i,282.924
0.001,-0.241355,-0.213475,-0.0035344,-0.0013173+0.00113642i,273.642
0.001,-0.172397,-0.152482,-0.0035344,-0.00144961+0.0012791i,264.209
0.001,-0.103438,-0.0914892,-0.0035344,-0.00158238+0.00142345i,254.647
0.001,-0.0344793,-0.0304964,-0.0035344,-0.00171531+0.00156969i,244.98
0.001,0.0344793,0.0304964,-0.0035344,-0.00184812+0.00171802i,235.233
0.001,0.103438,0.0914892,-0.0035344,-0.00198062+0.0018686i,225.433
0.001,0.172397,0.152482,-0.0035344,-0.00211264+0.00202154i,215.606
0.001,0.241355,0.213475,-0.0035344,-0.00224408+0.00217695i,205.784
0.001,0.310314,0.274467,-0.0035344,-0.00237493+0.00233488i,196.002
0.001,0.379272,0.33546,-0.0035344,-0.00250523+0.00249537i,186.299
0.001,0.448231,0.396453,-0.0035344,-0.00263514+0.00265847i,176.72
0.001,0.51719,0.457446,-0.0035344,-0.00276498+0.00282418i,167.324
0.001,0.586148,0.518439,-0.0035344,-0.00289521+0.00299258i,158.187
0.001,0.655107,0.579431,-0.0035344,-0.00302659+0.00316376i,149.424
0.001,0.724066,0.640424,-0.0035344,-0.00316033+0.00333796i,141.231
0.001,0.793024,0.701417,-0.0035344,-0.00329842+0.00351566i,134.023
0.001,0.861983,0.76241,-0.0035344,-0.00344461+0.00369777i,128.977
0.001,0.930941,0.823402,-0.0035344,-0.00360812+0.00388626i,131.942
0.001,0.9999,0.884395,-0.0035344,-0.00387286+0.00408673i,-1.12149e+08
0.00423684,-0.9999,-0.887255,-0.0149747,0.0012308-0.00117271i,-5.20371e+07
0.00423684,-0.930941,-0.826065,-0.0149747,0.00117031-0.000478242i,0.635487
0.00423684,-0.861983,-0.764875,-0.0149747,0.001038-0.000100946i,0.5364
0.00423684,-0.793024,-0.703685,-0.0149747,0.000891151+0.000218664i,0.485797
0.00423684,-0.724066,-0.642495,-0.0149747,0.000736297+0.000507777i,0.444682
0.00423684,-0.655107,-0.581305,-0.0149747,0.00057632+0.000777012i,0.408143
0.00423684,-0.586148,-0.520115,-0.0149747,0.000412963+0.00103184i,0.375058
0.00423684,-0.51719,-0.458925,-0.0149747,0.000247471+0.0012755i,0.345126
0.00423684,-0.448231,-0.397735,-0.0149747,8.08263e-05+0.00151014i,0.318282
0.00423684,-0.379272,-0.336545,-0.0149747,-8.61461e-05+0.00173723i,0.294531
0.00423684,-0.310314,-0.275355,-0.0149747,-0.000252727+0.00195785i,0.273893
0.00423684,-0.241355,-0.214165,-0.0149747,-0.000418277+0.00217285i,0.256385
0.00423684,-0.172397,-0.152975,-0.0149747,-0.000582217+0.00238287i,0.242013
0.00423684,-0.103438,-0.091785,-0.0149747,-0.000744025+0.00258845i,0.230776
0.00423684,-0.0344793,-0.030595,-0.0149747,-0.000903228+0.00279003i,0.222672
0.00423684,0.0344793,0.030595,-0.0149747,-0.00105941+0.00298799i,0.217711
0.00423684,0.103438,0.091785,-0.0149747,-0.00121219+0.00318267i,0.215929
0.00423684,0.172397,0.152975,-0.0149747,-0.00136126+0.00337434i,0.217418
0.00423684,0.241355,0.214165,-0.0149747,-0.00150637+0.00356325i,0.222361
0.00423684,0.310314,0.275355,-0.0149747,-0.00164733+0.00374965i,0.231088
0.00423684,0.379272,0.336545,-0.0149747,-0.00178405+0.00393373i,0.244171
0.00423684,0.448231,0.397735,-0.0149747,-0.00191653+0.00411567i,0.26258
0.00423684,0.51719,0.458925,-0.0149747,-0.0020449+0.00429565i,0.287966
0.00423684,0.586148,0.520115,-0.0149747,-0.00216945+0.00447378i,0.323233
0.00423684,0.655107,0.581305,-0.0149747,-0.00229072+0.00465016i,0.373767
0.00423684,0.724066,0.642495,-0.0149747,-0.0024096+0.0048248i,0.450546
0.00423684,0.793024,0.703685,-0.0149747,-0.00252767+0.00499744i,0.579509
0.00423684,0.861983,0.764875,-0.0149747,-0.00264788+0.00516703i,0.839677
0.00423684,0.930941,0.826065,-0.0149747,-0.00277755+0.00532918i,1.63832
0.00423684,0.9999,0.887255,-0.0149747,-0.00298249+0.00541573i,-3.66501e+08
0.00747368,-0.9999,-0.890115,-0.026415,0.00273446-0.00144946i,-1.75694e+08
0.00747368,-0.930941,-0.828728,-0.026415,0.00261801-0.000490266i,0.209364
0.00747368,-0.861983,-0.76734,-0.026415,0.0024388+1.92016e-05i,0.0666561
0.00747368,-0.793024,-0.705953,-0.026415,0.00224764+0.000446454i,0.032505
0.00747368,-0.724066,-0.644566,-0.026415,0.00205042+0.000829832i,0.0181291
0.00747368,-0.655107,-0.583179,-0.026415,0.00184981+0.00118422i,0.0102457
0.00747368,-0.586148,-0.521791,-0.026415,0.00164749+0.00151722i,0.00515726
0.00747368,-0.51719,-0.460404,-0.026415,0.00144471+0.00183332i,0.00152891
